X2.62212 Y2.50216 Z2.145
X2.94289 Y2.51333 Z2.53275
X3.27494 Y2.50829 Z2.90561
X3.87307 Y2.50587 Z3.3716
X4.23979 Y2.50422 Z3.65652
X4.4912 Y2.50317 Z3.85197
X4.88046 Y2.50154 Z4.15339
X5.73564 Y2.49855 Z4.71197
X6.05526 Y2.49798 Z4.83304
X6.2222 Y2.49773 Z4.89196
X6.49999 Y2.4974 Z4.98654
X6.68554 Y2.49719 Z5.04746
X6.93433 Y2.49695 Z5.12768
X7.1502 Y2.49674 Z5.19644
X7.31886 Y2.4966 Z5.24991
X7.94916 Y2.49607 Z5.44867
X8.20737 Y2.49588 Z5.52992
X8.54605 Y2.49567 Z5.63675
X8.63028 Y2.49562 Z5.66329
X8.71835 Y2.49558 Z5.69124
X9.07319 Y2.49552 Z5.80602
X9.3752 Y2.49564 Z5.90781
X9.72781 Y2.49587 Z6.02939
X10.0715 Y2.4961 Z6.14807
X12.6051 Y2.49889 Z7.04093
X13.0955 Y2.50093 Z7.33694
X13.6371 Y2.50209 Z8.05875
X13.959 Y2.50239 Z8.5732
X14.1405 Y2.50264 Z8.86341
X14.6011 Y2.50318 Z9.59703
X14.9103 Y2.50342 Z10.0838
X15.0135 Y2.50351 Z10.2441
X15.1729 Y2.50368 Z10.4877
X15.3373 Y2.50385 Z10.7363
X15.4925 Y2.50403 Z10.9678
X15.6078 Y2.50416 Z11.1383
X15.8082 Y2.50441 Z11.4262
X15.9388 Y2.50457 Z11.6137
X16.0846 Y2.50475 Z11.823
X16.3105 Y2.50503 Z12.1445
X16.4251 Y2.50517 Z12.3011
X16.6088 Y2.50541 Z12.5523
X16.8075 Y2.50566 Z12.824
X16.9618 Y2.50585 Z13.033
X17.1181 Y2.50604 Z13.2352
X17.384 Y2.50634 Z13.5608
X17.5649 Y2.50655 Z13.7822
X17.6756 Y2.50668 Z13.9178
X18.0347 Y2.50708 Z14.3563
X18.236 Y2.50729 Z14.5812
X18.6703 Y2.50771 Z15.0623
X19.051 Y2.50803 Z15.4493
X19.2618 Y2.50819 Z15.659
X19.4264 Y2.50831 Z15.8132
X19.6575 Y2.50845 Z16.0208
X19.8255 Y2.50855 Z16.1728
X19.9329 Y2.50861 Z16.2637
X20.171 Y2.5087 Z16.4457
X20.3792 Y2.50879 Z16.6063
X20.5344 Y2.50885 Z16.7172
X20.7517 Y2.50893 Z16.8697
X21.0244 Y2.50903 Z17.0481
X21.1656 Y2.50909 Z17.1361
X21.2465 Y2.50913 Z17.1822
X21.3622 Y2.5092 Z17.2449
X21.5257 Y2.5093 Z17.3309
X21.8779 Y2.50956 Z17.4952
X22.1608 Y2.50981 Z17.6195
X22.2954 Y2.50996 Z17.6716
X22.4188 Y2.51014 Z17.7096
X22.5384 Y2.51033 Z17.7416
X22.7493 Y2.51067 Z17.7955
X22.92 Y2.51096 Z17.8323
X23.4201 Y2.5118 Z17.9328
X24.1936 Y2.51283 Z18.0511
X24.9467 Y2.51082 Z18.117
X25.21 Y2.50842 Z18.1287
X25.4206 Y2.5065 Z18.138
X25.578 Y2.50508 Z18.145
X25.7091 Y2.50391 Z18.1508
X26.502 Y2.49411 Z18.1865
