X13.2561 Y2.49591 Z7.49497
X4.26667 Y2.50303 Z3.75787
X15.9541 Y2.50312 Z11.6984
X15.0743 Y2.503 Z10.3172
X24.028 Y2.51423 Z18.0318
X17.1813 Y2.50362 Z13.4205
X17.4188 Y2.50374 Z13.7314
X17.962 Y2.50408 Z14.3904
X17.7945 Y2.50396 Z14.1967
X18.6758 Y2.50462 Z15.1775
X18.6758 Y2.50462 Z15.1775
X19.1344 Y2.50505 Z15.6267
X18.8524 Y2.50477 Z15.3583
X26.2778 Y2.50812 Z18.1874
X19.8176 Y2.50576 Z16.2452
X20.8223 Y2.50705 Z16.9865
X21.2269 Y2.50767 Z17.2197
X21.7313 Y2.50851 Z17.4795
X16.8807 Y2.50348 Z13.0146
X16.0621 Y2.50315 Z11.86
X24.2472 Y2.51461 Z18.0594
X25.3127 Y2.51262 Z18.1555
X3.46481 Y2.50624 Z3.12125
X2.36819 Y2.45744 Z1.7782
X2.43758 Y2.48193 Z1.89562
X8.85549 Y2.49414 Z5.72754
X2.81097 Y2.50975 Z2.44532
X5.8108 Y2.49845 Z4.71441
X5.8108 Y2.49845 Z4.71441
X6.43519 Y2.4976 Z4.94244
X6.83231 Y2.49747 Z5.07732
X8.61145 Y2.49463 Z5.64802
X9.27632 Y2.4951 Z5.87023
X2.93136 Y2.50816 Z2.58928
X3.46481 Y2.50624 Z3.12125
X5.44814 Y2.49931 Z4.52569
X7.13735 Y2.49602 Z5.17736
X11.3991 Y2.5008 Z6.65544
X11.3991 Y2.5008 Z6.65544
X12.206 Y2.50265 Z6.95675
X9.27632 Y2.4951 Z5.87023
X8.03663 Y2.49822 Z5.46621
X14.8677 Y2.50301 Z9.98211
X15.7217 Y2.50306 Z11.3432
X13.5864 Y2.50355 Z7.8947
X4.83534 Y2.50124 Z4.12678
X15.7217 Y2.50306 Z11.3432
X10.5014 Y2.49836 Z6.32117
X22.0679 Y2.50916 Z17.6263
X21.8557 Y2.50874 Z17.536
X16.2139 Y2.5032 Z12.0837
X17.5875 Y2.50384 Z13.9429
X22.7854 Y2.51098 Z17.8117
X16.6646 Y2.50338 Z12.7145
X19.5901 Y2.50552 Z16.0454
X20.4891 Y2.50659 Z16.7662
X8.85549 Y2.49414 Z5.72754
X8.72729 Y2.49362 Z5.68572
X12.9981 Y2.49917 Z7.24217
X15.9541 Y2.50312 Z11.6984
X22.7854 Y2.51098 Z17.8117
X22.225 Y2.5095 Z17.6841
X21.3656 Y2.5079 Z17.2922
X19.5901 Y2.50552 Z16.0454
X18.1656 Y2.50422 Z14.6235
X20.3343 Y2.50639 Z16.6538
X20.8223 Y2.50705 Z16.9865
X21.2269 Y2.50767 Z17.2197
X24.028 Y2.51423 Z18.0318
X21.7313 Y2.50851 Z17.4795
X16.8807 Y2.50348 Z13.0146
X16.7226 Y2.50341 Z12.7951
X17.1813 Y2.50362 Z13.4205
X16.3983 Y2.50327 Z12.344
X25.3127 Y2.51262 Z18.1555
X24.9294 Y2.51523 Z18.1383
X5.92946 Y2.49826 Z4.75976
X9.14352 Y2.49479 Z5.82404
X8.96764 Y2.49432 Z5.76449
X8.44731 Y2.49339 Z5.59516
X12.206 Y2.50265 Z6.95675
X12.9981 Y2.49917 Z7.24217
X14.2961 Y2.50257 Z9.03616
X23.4657 Y2.51284 Z17.9444
X23.4657 Y2.51284 Z17.9444
X22.0679 Y2.50916 Z17.6263
X7.49523 Y2.49321 Z5.29391
X7.13735 Y2.49602 Z5.17736
X10.0079 Y2.49702 Z6.13742
X15.2903 Y2.50301 Z10.6617
X7.49523 Y2.49321 Z5.29391
X2.93136 Y2.50816 Z2.58928
X15.4941 Y2.50303 Z10.9858
X15.4941 Y2.50303 Z10.9858
X16.6646 Y2.50338 Z12.7145
X25.4961 Y2.51128 Z18.1625
X20.4891 Y2.50659 Z16.7662
X2.43758 Y2.48193 Z1.89562
X4.00546 Y2.50385 Z3.58669
X13.9115 Y2.50128 Z8.40004
X6.11071 Y2.49804 Z4.82753
X5.44814 Y2.49931 Z4.52569
X25.7252 Y2.50963 Z18.1711
X14.5632 Y2.50278 Z9.47834
X4.26667 Y2.50303 Z3.75787
X14.2961 Y2.50257 Z9.03616
X25.7252 Y2.50963 Z18.1711
X10.5014 Y2.49836 Z6.32117
X12.4285 Y2.50306 Z7.04006
